1058, 25.00,607,665,501
21113, 25.00,606,664,500
41155, 25.00,605,663,499
61197, 25.00,604,663,489
81239, 25.00,604,662,494
101280, 25.00,604,662,493
121322, 25.00,604,662,491
141364, 25.00,604,662,494
161412, 25.00,603,661,493
181453, 25.00,603,662,492
201495, 25.00,603,661,491
221537, 25.00,603,661,490
241579, 25.00,602,660,492
261621, 25.00,602,660,490
281663, 25.00,602,660,489
301705, 25.00,602,659,495
321746, 25.00,601,659,494
341788, 25.00,601,659,489
361830, 25.00,601,659,492
381873, 25.00,600,659,489
401920, 25.00,600,659,493
